Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter_Jan_Feb,Pre_Monsoon_Mar_May,Monsoon_Jun_Sep,Post_Monsoon_Oct_Dec
1979,19.2,29.5,50.9,69.0,116.3,231.6,480.6,248.1,255.8,171.3,26.0,34.1,1732.5,48.7,236.2,1216.1,231.4
1980,20.8,42.8,92.4,129.6,205.9,344.9,428.9,395.0,280.1,126.0,1.7,0.9,2068.9,63.6,427.8,1448.9,128.6
1981,40.4,46.5,91.3,133.9,221.2,268.4,510.2,327.3,237.0,28.9,10.2,30.0,1945.3,86.9,446.4,1342.9,69.1
1982,3.7,39.1,73.0,155.5,117.1,336.1,385.0,304.8,259.9,51.7,29.6,14.7,1770.2,42.8,345.7,1285.8,95.9
1983,21.6,54.4,96.3,159.4,218.0,301.1,423.1,334.5,343.2,143.3,4.9,22.6,2122.5,76.0,473.7,1401.9,170.8
1984,36.9,19.6,35.9,138.2,276.4,465.8,563.5,349.1,308.1,112.3,3.4,22.6,2331.8,56.5,450.5,1686.5,138.3
1985,17.7,29.5,86.0,140.8,221.6,359.4,509.4,316.0,314.2,126.6,10.0,15.5,2146.7,47.2,448.3,1499.0,152.1
1986,9.9,24.0,29.3,160.6,122.8,305.8,404.9,306.2,349.0,206.4,54.5,20.0,1993.4,33.9,312.7,1365.9,280.9
1987,4.6,23.1,62.1,151.2,127.0,317.7,569.3,485.6,416.0,94.8,32.8,11.5,2295.8,27.7,340.4,1788.6,139.1
1988,10.4,45.5,92.2,120.1,300.3,343.3,515.0,541.0,276.7,167.6,36.9,6.6,2455.5,55.9,512.6,1676.0,211.1
1989,13.2,46.7,28.9,124.5,185.4,355.0,520.1,279.1,370.5,160.2,18.6,13.2,2115.4,59.9,338.8,1524.7,191.9
1990,13.7,56.0,95.9,172.0,220.7,403.2,489.8,322.9,362.3,155.8,24.0,11.8,2328.0,69.7,488.5,1578.1,191.7
1991,21.4,32.0,54.2,115.7,284.0,381.6,371.0,395.9,368.4,138.8,11.3,47.8,2222.1,53.3,453.9,1516.9,197.9
1992,11.9,49.8,50.5,78.7,174.8,296.5,425.6,299.6,229.6,118.2,9.6,5.7,1750.4,61.6,303.9,1251.3,133.5
1993,36.2,61.7,67.0,94.7,250.8,404.4,418.5,429.5,336.0,119.6,18.4,1.7,2238.6,97.9,412.6,1588.4,139.7
1994,28.0,41.1,103.9,106.0,165.6,335.3,318.0,307.6,193.5,107.2,12.1,4.3,1722.8,69.1,375.6,1154.5,123.6
1995,12.8,36.7,36.7,78.6,199.0,403.6,444.5,411.4,386.5,70.3,94.1,15.6,2189.7,49.5,314.3,1646.0,179.9
1996,20.2,29.3,76.9,74.1,219.8,318.5,406.5,398.6,207.1,152.1,5.2,1.4,1909.7,49.6,370.8,1330.6,158.7
